Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
JUNB	ENST00000302754.4	jun B proto-oncogene 	1055	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0124	0.0852	0.4189	-0.40	-0.40	0.68	2005, 2007, 2009, 2011
ETS1	ENST00000531611.1	v-ets avian erythroblastosis virus E26 oncogene homolog 1 	1423	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0807	0.3873	0.8056	-0.40	-0.42	0.92	2005, 2007, 2009, 2011
MUC21	ENST00000376296.3	mucin 21, cell surface associated 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0216	0.1429	0.6092	-0.40	-0.40	0.23	NULL
PAX3	ENST00000350526.4	paired box 3 	7	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0423	0.2463	0.7093	-0.39	-0.39	0.84	2005, 2007, 2009, 2011
CYLC2	ENST00000374798.3	cylicin, basic protein of sperm head cytoskeleton 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0121	0.0830	0.4009	-0.39	-0.39	0.38	2009, 2011
ACHE	ENST00000302913.4	acetylcholinesterase 	14	1	0	0	1	1	1	0	0	0	hsa-miR-199a-5p	0.0122	0.0853	0.4444	-0.39	-0.46	< 0.1	NULL
ZNF594	ENST00000399604.4	zinc finger protein 594 	29	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0109	0.0787	0.5063	-0.39	-0.39	0.22	2009
SORCS3	ENST00000369701.3	sortilin-related VPS10 domain containing receptor 3 	5	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0691	0.3609	0.8917	-0.39	-0.39	0.32	2009, 2011
HGF	ENST00000222390.5	hepatocyte growth factor (hepapoietin A; scatter factor) 	18	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0472	0.2880	1.0533	-0.38	-0.38	0.78	NULL
TMEM63B	ENST00000259746.9	transmembrane protein 63B 	557	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0338	0.2062	0.6743	-0.38	-0.38	0.80	2007, 2009, 2011
MARCH7	ENST00000259050.4	membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase 	537	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0601	0.3425	1.0669	-0.38	-0.41	> 0.99	2007, 2009, 2011
OSR1	ENST00000272223.2	odd-skipped related 1 (Drosophila) 	15	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0189	0.1262	0.5547	-0.38	-0.38	0.78	2005, 2007, 2009, 2011
RNF11	ENST00000242719.3	ring finger protein 11 	5881	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0188	0.1240	0.5113	-0.37	-0.37	> 0.99	2005, 2007, 2009, 2011
ZNF516	ENST00000443185.2	zinc finger protein 516 	311	1	1	0	0	1	0	1	0	1	hsa-miR-199a-5p	0.0701	0.3784	1.0541	-0.37	-0.40	0.95	2009, 2011
FPGS	ENST00000373245.1	folylpolyglutamate synthase 	117	2	1	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0096	0.0689	0.4242	-0.37	-0.37	< 0.1	NULL
SAT1	ENST00000379270.4	spermidine/spermine N1-acetyltransferase 1 	1720	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0098	0.0681	0.3556	-0.37	-0.39	0.56	2007, 2009, 2011
LARGE	ENST00000354992.2	like-glycosyltransferase 	411	1	1	0	0	1	1	0	0	0	hsa-miR-199b-5p	0.0221	0.1459	0.6180	-0.37	-0.55	0.93	2005, 2007, 2009, 2011
NPAS2	ENST00000335681.5	neuronal PAS domain protein 2 	559	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0480	0.2572	0.6597	-0.36	-0.49	0.83	2005, 2007, 2009, 2011
ZCCHC4	ENST00000302874.4	zinc finger, CCHC domain containing 4 	199	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0153	0.1044	0.5067	-0.36	-0.39	0.72	2009, 2011
PKN2	ENST00000370521.3	protein kinase N2 	747	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0141	0.1011	0.6086	-0.36	-0.36	0.67	2005, 2007, 2009, 2011
KPNA4	ENST00000334256.4	karyopherin alpha 4 (importin alpha 3) 	111	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0272	0.1798	0.7862	-0.36	-0.38	0.93	2005, 2007, 2009, 2011
DRAM1	ENST00000258534.8	DNA-damage regulated autophagy modulator 1 	4884	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0369	0.2306	0.8706	-0.36	-0.41	0.39	2009, 2011
SLC9A8	ENST00000361573.2	solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8 	474	1	0	1	0	1	0	0	1	2	hsa-miR-199a-5p	0.0255	0.1728	0.8315	-0.36	-0.36	0.57	2009, 2011
HSPA12A	ENST00000369209.3	heat shock 70kDa protein 12A 	37	1	1	0	0	4	0	1	3	0	hsa-miR-199b-5p	0.0218	0.1540	0.8783	-0.36	-0.47	0.62	2007, 2009, 2011
RBM23	ENST00000555209.1	RNA binding motif protein 23 	1540	1	0	0	1	3	0	1	2	2	hsa-miR-199a-5p	0.0118	0.0831	0.4563	-0.35	-0.49	0.77	2009, 2011
CAPRIN1	ENST00000341394.4	cell cycle associated protein 1 	650	2	0	2	0	1	0	0	1	1	hsa-miR-199a-5p	0.0277	0.1801	0.7876	-0.35	-0.74	0.87	2007, 2009, 2011
FAM178A	ENST00000238961.4	family with sequence similarity 178, member A 	130	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0643	0.3438	0.8844	-0.35	-0.35	0.84	2005, 2007, 2009, 2011
RLIM	ENST00000332687.6	ring finger protein, LIM domain interacting 	662	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0826	0.4078	0.9329	-0.35	-0.36	0.82	2011
EXOC8	ENST00000360394.2	exocyst complex component 8 	129	2	1	0	1	1	0	1	0	1	hsa-miR-199a-5p	0.0509	0.2920	1.0260	-0.35	-0.61	0.97	2005, 2007, 2009, 2011
NAB2	ENST00000357680.4	NGFI-A binding protein 2 (EGR1 binding protein 2) 	4262	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0117	0.0825	0.4697	-0.35	-0.35	0.57	2009, 2011
LARP4	ENST00000398473.2	La ribonucleoprotein domain family, member 4 	35	1	1	0	0	1	0	1	0	1	hsa-miR-199a-5p	0.0535	0.2874	0.7626	-0.35	-0.55	0.93	2007, 2009, 2011
TSPAN3	ENST00000267970.4	tetraspanin 3 	9328	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0175	0.1164	0.5050	-0.35	-0.35	0.56	2011
KIAA1109	ENST00000388738.3	KIAA1109 	591	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0296	0.1968	0.9118	-0.35	-0.35	0.25	NULL
RANBP2	ENST00000283195.6	RAN binding protein 2 	814	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0738	0.3874	1.0325	-0.35	-0.35	0.89	2005, 2007, 2009, 2011
NAALADL2	ENST00000454872.1	N-acetylated alpha-linked acidic dipeptidase-like 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0480	0.2942	1.0937	-0.35	-0.35	0.60	2009, 2011
PNPLA6	ENST00000221249.6	patatin-like phospholipase domain containing 6 	429	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0121	0.0838	0.4321	-0.34	-0.34	0.70	2007, 2009, 2011
UHMK1	ENST00000538489.1	U2AF homology motif (UHM) kinase 1 	48	1	0	0	1	2	1	0	1	0	hsa-miR-199b-5p	0.0187	0.1336	0.8001	-0.34	-0.44	0.57	2005, 2007, 2011
RAB27B	ENST00000262094.5	RAB27B, member RAS oncogene family 	5	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0315	0.2161	1.0873	-0.34	-0.34	0.31	NULL
BTBD3	ENST00000254977.3	BTB (POZ) domain containing 3 	3798	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0441	0.2675	0.9426	-0.34	-0.36	0.65	2005, 2007, 2009, 2011
TSPAN5	ENST00000305798.3	tetraspanin 5 	107	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0319	0.1958	0.6451	-0.34	-0.34	0.93	2007, 2009, 2011
RHEB	ENST00000262187.5	Ras homolog enriched in brain 	14	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0056	0.0398	0.2343	-0.34	-0.34	> 0.99	2009, 2011
CSDC2	ENST00000306149.7	cold shock domain containing C2, RNA binding 	31	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0229	0.1475	0.5610	-0.34	-0.34	0.77	2007, 2009, 2011
ITGA8	ENST00000378076.3	integrin, alpha 8 	7	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0220	0.1520	0.7742	-0.34	-0.39	0.96	NULL
TBC1D8	ENST00000376840.4	TBC1 domain family, member 8 (with GRAM domain) 	47	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0123	0.0858	0.4624	-0.34	-0.34	0.34	2009, 2011
PVRL1	ENST00000264025.3	poliovirus receptor-related 1 (herpesvirus entry mediator C) 	50	1	1	0	0	0	0	0	0	3	hsa-miR-199a-5p	0.0565	0.3204	0.9667	-0.34	-0.35	0.93	2007, 2009, 2011
RTN4RL2	ENST00000335099.3	reticulon 4 receptor-like 2 	13	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0139	0.0943	0.4348	-0.34	-0.34	0.45	NULL
ZNF286B	ENST00000285274.5	zinc finger protein 286B 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0133	0.0953	0.5908	-0.34	-0.34	< 0.1	NULL
UBE2G1	ENST00000396981.2	ubiquitin-conjugating enzyme E2G 1 	5620	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0192	0.1286	0.5830	-0.34	-0.34	0.89	2009, 2011
VGLL2	ENST00000352536.3	vestigial like 2 (Drosophila) 	5	1	0	0	1	1	0	0	1	3	hsa-miR-199a-5p	0.0173	0.1195	0.6163	-0.33	-0.50	0.66	NULL
FER	ENST00000281092.4	fer (fps/fes related) tyrosine kinase 	665	1	1	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0804	0.4717	1.6023	-0.33	-0.33	0.87	NULL
PXN	ENST00000458477.2	paxillin 	484	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0151	0.1055	0.5711	-0.33	-0.33	0.70	2007, 2009, 2011
RBPMS	ENST00000320203.4	RNA binding protein with multiple splicing 	472	1	0	1	0	0	0	0	0	2	hsa-miR-199a-5p	0.0271	0.1815	0.8403	-0.33	-0.36	0.74	2009, 2011
ATXN7L1	ENST00000419735.3	ataxin 7-like 1 	67	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0180	0.1245	0.6542	-0.33	-0.33	0.26	2009, 2011
UBAP1	ENST00000545103.1	ubiquitin associated protein 1 	357	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0283	0.1776	0.6293	-0.33	-0.34	0.67	2005, 2007, 2009, 2011
PAN3	ENST00000282391.5	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) 	361	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0395	0.2423	0.8588	-0.33	-0.34	0.87	2007, 2009, 2011
TBC1D14	ENST00000448507.1	TBC1 domain family, member 14 	1583	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0275	0.1761	0.6743	-0.33	-0.33	0.35	2009, 2011
DUSP14	ENST00000394389.4	dual specificity phosphatase 14 	6641	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0118	0.0815	0.4150	-0.33	-0.33	0.31	NULL
MAPRE2	ENST00000436190.2	microtubule-associated protein, RP/EB family, member 2 	361	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0289	0.1801	0.6207	-0.33	-0.33	0.27	NULL
UBALD2	ENST00000327490.6	UBA-like domain containing 2 	506	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0121	0.0831	0.4075	-0.33	-0.35	0.78	2007, 2009, 2011
CHCHD4	ENST00000295767.5	coiled-coil-helix-coiled-coil-helix domain containing 4 	8	1	0	1	0	3	1	1	1	1	hsa-miR-199a-5p	0.0161	0.1156	0.6992	-0.33	-0.51	0.35	NULL
CDKN1B	ENST00000228872.4	cyclin-dependent kinase inhibitor 1B (p27, Kip1) 	587	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0189	0.1311	0.6757	-0.33	-0.33	0.34	2011
PPFIBP1	ENST00000318304.8	PTPRF interacting protein, binding protein 1 (liprin beta 1) 	341	1	0	1	0	1	0	0	1	1	hsa-miR-199a-5p	0.0387	0.2386	0.8525	-0.33	-0.33	0.85	2009, 2011
EIF5B	ENST00000289371.6	eukaryotic translation initiation factor 5B 	188	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0247	0.1629	0.7112	-0.33	-0.33	0.91	2005, 2007, 2009, 2011
RAB21	ENST00000261263.3	RAB21, member RAS oncogene family 	1823	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0927	0.3568	0.6612	-0.32	-0.59	0.92	2009, 2011
PHACTR4	ENST00000373839.3	phosphatase and actin regulator 4 	85	1	0	0	1	1	0	1	0	1	hsa-miR-199a-5p	0.0252	0.1693	0.7952	-0.32	-0.32	0.86	2009, 2011
WDR44	ENST00000254029.3	WD repeat domain 44 	392	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0091	0.0642	0.3548	-0.32	-0.34	0.78	2005, 2007, 2009, 2011
CREBRF	ENST00000540014.1	CREB3 regulatory factor 	24	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0615	0.3366	0.9142	-0.32	-0.32	0.82	2011
ANK3	ENST00000280772.2	ankyrin 3, node of Ranvier (ankyrin G) 	74	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0727	0.4153	1.3557	-0.32	-0.32	0.93	2009, 2011
ITGA3	ENST00000007722.7	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) 	197	1	1	0	0	3	0	1	2	0	hsa-miR-199a-5p	0.0199	0.1380	0.7215	-0.32	-0.37	0.41	2009, 2011
TMEM215	ENST00000342743.5	transmembrane protein 215 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0135	0.0934	0.4685	-0.32	-0.32	0.25	2011
ZNF629	ENST00000262525.4	zinc finger protein 629 	44	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0376	0.2312	0.8084	-0.32	-0.32	0.39	2009, 2011
CHN2	ENST00000222792.6	chimerin 2 	95	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0241	0.1565	0.6429	-0.32	-0.37	0.22	NULL
MCFD2	ENST00000444761.2	multiple coagulation factor deficiency 2 	1648	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0195	0.1280	0.5182	-0.32	-0.32	0.70	2009, 2011
EHD4	ENST00000220325.4	EH-domain containing 4 	515	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0171	0.1145	0.4966	-0.32	-0.32	0.43	2009, 2011
MINK1	ENST00000347992.7	misshapen-like kinase 1 	1983	1	0	0	1	1	1	0	0	1	hsa-miR-199a-5p	0.0109	0.0778	0.4690	-0.32	-0.32	0.50	2005, 2007, 2009, 2011
ZNF654	ENST00000309495.5	zinc finger protein 654 	456	2	0	2	0	0	0	0	0	0	hsa-miR-199a-5p	0.0214	0.1522	0.8772	-0.32	-0.34	0.65	2007, 2009, 2011
GPD2	ENST00000540309.1	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) 	196	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0369	0.2305	0.8536	-0.32	-0.33	0.32	2009, 2011
ACVR1B	ENST00000257963.4	activin A receptor, type IB 	3319	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0380	0.2294	0.7483	-0.32	-0.32	0.92	2005, 2007, 2009, 2011
GSK3B	ENST00000264235.8	glycogen synthase kinase 3 beta 	498	2	0	2	0	0	0	0	0	0	hsa-miR-199b-5p	0.0262	0.1758	0.7975	-0.31	-0.37	0.71	2005, 2007, 2009, 2011
E2F6	ENST00000362009.4	E2F transcription factor 6 	70	1	0	1	0	1	0	0	1	0	hsa-miR-199b-5p	0.0124	0.0868	0.4736	-0.31	-0.35	0.32	NULL
MFSD6	ENST00000392328.1	major facilitator superfamily domain containing 6 	47	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0412	0.2439	0.7539	-0.31	-0.31	0.93	2009, 2011
TTC9	ENST00000256367.2	tetratricopeptide repeat domain 9 	39	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0186	0.1252	0.5670	-0.31	-0.31	0.55	2009, 2011
DERL2	ENST00000572834.1	derlin 2 	261	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0095	0.0685	0.4308	-0.31	-0.31	0.38	NULL
TAB3	ENST00000378933.1	TGF-beta activated kinase 1/MAP3K7 binding protein 3 	201	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0390	0.2648	1.2740	-0.31	-0.35	0.58	2007, 2009, 2011
FBXO30	ENST00000237281.4	F-box protein 30 	224	1	1	0	0	2	1	1	0	0	hsa-miR-199b-5p	0.0310	0.2082	0.9404	-0.31	-0.40	0.36	NULL
CCBL2	ENST00000370485.2	cysteine conjugate-beta lyase 2 	409	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0071	0.0510	0.3112	-0.31	-0.31	< 0.1	NULL
NLK	ENST00000407008.3	nemo-like kinase 	61	3	0	1	2	0	0	0	0	0	hsa-miR-199a-5p	0.0122	0.0857	0.4780	-0.31	-0.62	0.90	2005, 2007, 2009, 2011
BROX	ENST00000537020.1	BRO1 domain and CAAX motif containing 	149	2	0	2	0	0	0	0	0	0	hsa-miR-199a-5p	0.0222	0.1453	0.6062	-0.30	-0.33	0.31	NULL
ATP13A2	ENST00000326735.8	ATPase type 13A2 	14	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0130	0.0894	0.4384	-0.30	-0.30	< 0.1	2009
FIGN	ENST00000333129.3	fidgetin 	10	1	0	1	0	1	0	1	0	1	hsa-miR-199a-5p	0.0271	0.1883	0.9885	-0.30	-0.37	0.43	NULL
KIAA0040	ENST00000423313.1	KIAA0040 	15	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0216	0.1447	0.6618	-0.30	-0.30	0.45	2011
OTX1	ENST00000366671.3	orthodenticle homeobox 1 	11	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0079	0.0558	0.3038	-0.30	-0.30	0.29	2009, 2011
PAXBP1	ENST00000331923.4	PAX3 and PAX7 binding protein 1 	340	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0287	0.1723	0.5686	-0.30	-0.47	0.90	2011
PLXNC1	ENST00000258526.4	plexin C1 	47	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0315	0.2079	0.9014	-0.30	-0.30	0.75	2011
AQP11	ENST00000313578.3	aquaporin 11 	75	1	0	0	1	0	0	0	0	1	hsa-miR-199b-5p	0.0080	0.0570	0.3431	-0.30	-0.30	0.41	2011
HSPA4	ENST00000304858.2	heat shock 70kDa protein 4 	1869	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0361	0.2071	0.5817	-0.30	-0.39	0.28	NULL
CCDC88C	ENST00000389857.6	coiled-coil domain containing 88C 	42	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0600	0.3244	0.8826	-0.30	-0.32	0.90	2007, 2009, 2011
PDE4D	ENST00000340635.6	phosphodiesterase 4D, cAMP-specific 	747	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0448	0.2569	0.7457	-0.30	-0.32	0.93	2005, 2007, 2009, 2011
TOX3	ENST00000407228.3	TOX high mobility group box family member 3 	59	1	0	1	0	0	0	0	0	1	hsa-miR-199b-5p	0.0485	0.3007	1.0695	-0.29	-0.31	0.55	2007, 2009, 2011
APMAP	ENST00000447138.1	adipocyte plasma membrane associated protein 	186	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0135	0.0914	0.4171	-0.29	-0.31	0.44	2009, 2011
STK4	ENST00000372801.1	serine/threonine kinase 4 	276	1	0	1	0	0	0	0	0	1	hsa-miR-199b-5p	0.0312	0.1950	0.7051	-0.29	-0.31	0.91	2011
FKBP5	ENST00000536438.1	FK506 binding protein 5 	32	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0201	0.1321	0.5350	-0.29	-0.29	0.63	2011
TMED8	ENST00000216468.7	transmembrane emp24 protein transport domain containing 8 	53	1	0	1	0	2	0	2	0	2	hsa-miR-199a-5p	0.0269	0.1849	0.9463	-0.29	-0.34	0.40	NULL
GPR180	ENST00000376958.4	G protein-coupled receptor 180 	161	2	0	0	2	1	1	0	0	0	hsa-miR-199a-5p	0.0201	0.1399	0.7326	-0.29	-0.32	0.95	2007, 2009, 2011
EMC10	ENST00000376918.3	ER membrane protein complex subunit 10 	1981	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0178	0.1241	0.6441	-0.29	-0.30	< 0.1	2009, 2011
SIRT1	ENST00000212015.6	sirtuin 1 	220	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0276	0.1769	0.6915	-0.29	-0.29	0.54	2005, 2007, 2009, 2011
MARK4	ENST00000300843.4	MAP/microtubule affinity-regulating kinase 4 	192	1	1	0	0	0	0	0	0	3	hsa-miR-199a-5p	0.0238	0.1482	0.5227	-0.29	-0.40	0.81	2009, 2011
KLHL29	ENST00000486442.1	kelch-like family member 29 	414	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0135	0.0929	0.4644	-0.29	-0.29	0.84	2011
SUCO	ENST00000367723.4	SUN domain containing ossification factor 	86	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0167	0.1185	0.6858	-0.29	-0.29	0.48	2005, 2007
FSTL4	ENST00000265342.7	follistatin-like 4 	60	1	0	1	0	1	0	0	1	1	hsa-miR-199a-5p	0.0357	0.2260	0.8946	-0.28	-0.33	> 0.99	2009, 2011
BEND3	ENST00000369042.1	BEN domain containing 3 	13	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0496	0.2832	0.8124	-0.28	-0.28	0.91	2009, 2011
ZNF652	ENST00000362063.2	zinc finger protein 652 	33	1	1	0	0	1	0	0	1	1	hsa-miR-199a-5p	0.0499	0.2558	0.6805	-0.28	-0.65	0.64	2009, 2011
MIER3	ENST00000381226.3	mesoderm induction early response 1, family member 3 	112	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0386	0.2408	0.8734	-0.28	-0.28	0.61	2007, 2009, 2011
ADD3	ENST00000277900.8	adducin 3 (gamma) 	537	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0190	0.1295	0.6295	-0.28	-0.28	0.45	2009, 2011
EMC7	ENST00000256545.4	ER membrane protein complex subunit 7 	672	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0106	0.0733	0.3722	-0.28	-0.28	0.78	NULL
CELF2	ENST00000379261.4	CUGBP, Elav-like family member 2 	45	1	0	1	0	0	0	0	0	4	hsa-miR-199a-5p	0.0309	0.2028	0.8896	-0.28	-0.35	0.43	2007, 2009, 2011
NFIL3	ENST00000297689.3	nuclear factor, interleukin 3 regulated 	7439	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0063	0.0454	0.2796	-0.28	-0.28	0.69	2007
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0203	0.1418	0.7533	-0.28	-0.28	0.41	2009, 2011
ZNF667	ENST00000591790.1	zinc finger protein 667 	24	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0097	0.0683	0.3787	-0.28	-0.28	< 0.1	NULL
PARP12	ENST00000263549.3	poly (ADP-ribose) polymerase family, member 12 	16	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0059	0.0419	0.2370	-0.28	-0.33	0.29	2007, 2009, 2011
DDI2	ENST00000480945.1	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 	357	1	1	0	0	1	1	0	0	3	hsa-miR-199a-5p	0.0215	0.1416	0.6145	-0.27	-0.55	0.70	NULL
MAP4K3	ENST00000263881.3	mitogen-activated protein kinase kinase kinase kinase 3 	796	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0316	0.2076	0.9109	-0.27	-0.27	0.53	2009, 2011
SLC35B3	ENST00000379660.4	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3 	83	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0196	0.1301	0.5507	-0.27	-0.27	0.48	2005, 2007
SULT4A1	ENST00000330884.4	sulfotransferase family 4A, member 1 	25	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0153	0.1029	0.4588	-0.27	-0.27	0.43	NULL
TM9SF3	ENST00000371142.4	transmembrane 9 superfamily member 3 	1030	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0162	0.1082	0.4727	-0.27	-0.27	0.84	2009, 2011
BCAP29	ENST00000005259.4	B-cell receptor-associated protein 29 	326	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0417	0.2462	0.7580	-0.27	-0.27	0.33	NULL
CDKN1C	ENST00000414822.3	cyclin-dependent kinase inhibitor 1C (p57, Kip2) 	328	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0063	0.0449	0.2579	-0.27	-0.27	0.57	2011
KLHL23	ENST00000392647.2	kelch-like family member 23 	791	2	0	2	0	0	0	0	0	0	hsa-miR-199a-5p	0.0219	0.1487	0.7194	-0.27	-0.27	0.87	2011
ZSCAN29	ENST00000562072.1	zinc finger and SCAN domain containing 29 	32	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0059	0.0426	0.2718	-0.27	-0.27	< 0.1	NULL
CECR2	ENST00000400573.5	cat eye syndrome chromosome region, candidate 2 	46	2	1	0	1	1	0	0	1	2	hsa-miR-199a-5p	0.0393	0.2429	1.0401	-0.26	-0.51	0.88	2011
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0162	0.1164	0.7373	-0.26	-0.26	0.68	2007, 2009, 2011
NLRC3	ENST00000448023.2	NLR family, CARD domain containing 3 	5	1	0	1	0	1	1	0	0	0	hsa-miR-199a-5p	0.0350	0.2295	0.9935	-0.26	-0.26	0.31	NULL
KIAA0753	ENST00000361413.3	KIAA0753 	133	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0119	0.0815	0.3961	-0.26	-0.26	0.28	2009, 2011
